user_id,recommended_post_ids
2,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
3,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
4,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
5,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
6,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
7,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
8,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
9,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
10,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
11,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
12,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
13,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
14,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
15,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
16,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
17,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
18,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
20,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
21,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
22,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
23,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
24,"3638,3030,4819,4858,4736,4818,4734,4735,4823,2934"
25,"3638,3030,4819,4858,4736,4735,4734,4818,4823,2934"
26,"3638,3030,4819,4858,4736,4734,4735,4818,4823,4820"
27,"3638,3030,4819,4858,4736,4734,4735,4818,4823,4820"
29,"3030,4819,3638,4736,4858,4734,4735,4818,4740,4823"
30,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
31,"3030,4819,3638,4736,4858,4734,4735,4818,4740,4823"
32,"3030,4819,3638,4736,4858,4734,4735,4818,4740,4823"
33,"3030,4819,3638,4736,4858,4734,4735,4818,4740,4823"
34,"3030,4819,3638,4736,4858,4734,4735,4818,4740,4823"
35,"3638,4858,3030,4818,4735,4734,4736,4819,4740,4217"
36,"3638,3030,4736,4819,4735,4820,4858,4821,2934,4818"
37,"3638,3030,4736,4819,4735,4820,4858,4821,2934,4818"
38,"3638,3030,4858,4819,4735,4818,4736,4734,4740,4820"
39,"3638,3030,4736,4819,4735,4820,4858,4821,2934,4818"
40,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
41,"3638,3030,4736,4819,4735,2934,4818,4821,4820,4740"
42,"3638,4736,3030,4819,4740,4735,4821,4820,4818,4858"
43,"3638,4736,3030,4819,4740,4735,4821,4820,4818,4858"
44,"3638,3030,4736,4819,4735,2934,4818,4821,4820,4740"
45,"4736,4740,3638,4821,4818,3030,4820,4735,4822,4819"
46,"4822,4740,4736,4734,3030,4818,4819,4817,4733,4823"
47,"4822,4740,4736,4734,3030,4818,4819,4817,4733,4823"
48,"4822,4740,4736,4734,3030,4818,4819,4817,4733,4823"
49,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
50,"3638,4858,3030,4819,4736,4818,4735,4820,4734,4217"
51,"4819,4818,3030,4736,4858,4734,4735,3638,4740,4830"
52,"4822,4740,4736,4734,3030,4818,4819,4817,4733,4823"
53,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
54,"4822,4740,4736,4734,3030,4818,4819,4817,4733,4823"
55,"4822,4740,4736,4734,3030,4818,4819,4817,4733,4823"
56,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
57,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
58,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
59,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
60,"3638,3030,4736,4735,4819,4734,4823,4818,4858,2934"
61,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
62,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
63,"4822,4740,4736,4734,3030,4818,4819,4817,4733,4823"
64,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
65,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
66,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
67,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
68,"3638,4858,3030,4819,4820,4736,4735,4818,4740,4734"
69,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
70,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
71,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
72,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
73,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
74,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
75,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
76,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
77,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
78,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
79,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
80,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
81,"4822,4740,4736,4734,3030,4818,4819,4817,4733,4823"
82,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
83,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
84,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
85,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
86,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
87,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
88,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
89,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
90,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
91,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
92,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
93,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
94,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
95,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
96,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
97,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
98,"4822,4819,4821,4820,4705,4736,3030,4742,4818,4816"
